Date,Description,Amount,Category,PaymentMethod,Month
05-04-2025,IRCTC,20666.49,Travel,Debit Card,April
06-12-2025,Myntra,1919.05,Online Shopping,Net Banking,December
20-06-2025,BigBazaar,2837.68,Grocery,Debit Card,June
23-04-2025,Property Tax Online,1071.04,Bills,Net Banking,April
06-03-2025,Asus Store,10722.8,Electronics,Debit Card,March
30-10-2025,Max Fashion,3502.77,Clothing,Debit Card,October
11-06-2025,Property Tax Online,5334.34,Bills,Credit Card,June
03-01-2025,Airtel,1472.58,Bills,UPI,January
27-07-2025,Wrogn,1965.86,Clothing,Credit Card,July
16-08-2025,Aha,250.69,Entertainment,Credit Card,August
04-03-2025,Airtel,3989.88,Bills,Debit Card,March
23-06-2025,Cream Stone,525.94,Food,Credit Card,June
24-06-2025,Cream Stone,393.35,Food,UPI,June
10-05-2025,IndiGo,24147.34,Travel,Net Banking,May
28-07-2025,Nilgiris,1295.25,Grocery,UPI,July
26-04-2025,TSRTC,1287.28,Transport,UPI,April
11-02-2025,Metro Rail,723.54,Transport,Debit Card,February
03-05-2025,IRCTC,11324.06,Travel,Credit Card,May
27-06-2025,Ajio,6989.5,Online Shopping,Credit Card,June
27-12-2025,Nilgiris,1436.49,Grocery,Net Banking,December
10-11-2025,Nykaa,16470.71,Online Shopping,UPI,November
21-05-2025,Dominos,851.8,Food,Debit Card,May
08-03-2025,AirAsia,20599.36,Travel,Debit Card,March
30-11-2025,KFC,1260.41,Food,Credit Card,November
25-08-2025,Netflix,828.75,Entertainment,Net Banking,August
29-05-2025,Apple Store,131786.69,Electronics,Net Banking,May
06-02-2025,Spotify,177.44,Entertainment,Net Banking,February
09-03-2025,Water Board,2367.05,Bills,Net Banking,March
27-02-2025,Vodafone Idea,4047.44,Bills,Net Banking,February
20-05-2025,Zara,7133.34,Clothing,UPI,May
27-12-2025,Ajio,6351.17,Online Shopping,Debit Card,December
20-05-2025,Boat Lifestyle,128424.24,Electronics,Debit Card,May
08-02-2025,Aster,17253.66,Healthcare,Net Banking,February
23-09-2025,OnePlus,134214.53,Electronics,UPI,September
25-09-2025,Adidas,7195.3,Clothing,Debit Card,September
27-03-2025,CloudNine,18022.92,Healthcare,Debit Card,March
06-02-2025,Taco Bell,1158.63,Food,Credit Card,February
26-05-2025,Metro Rail,982.63,Transport,UPI,May
04-10-2025,JioMart,552.08,Grocery,Credit Card,October
07-05-2025,Zara,7654.25,Clothing,Net Banking,May
10-04-2025,Apple Store,111005.98,Electronics,UPI,April
27-05-2025,Barbeque Nation,610.2,Food,UPI,May
03-11-2025,BigBazaar,2051.12,Grocery,Debit Card,November
25-02-2025,Rapido,601.33,Transport,UPI,February
13-12-2025,Hotstar,850.41,Entertainment,UPI,December
05-10-2025,Snapdeal,17659.33,Online Shopping,Debit Card,October
20-06-2025,Allen Solly,6845.1,Clothing,Debit Card,June
22-01-2025,1mg,10543.34,Healthcare,Credit Card,January
16-09-2025,Biba,1592.02,Clothing,Net Banking,September
03-08-2025,Ola,1456.02,Transport,Net Banking,August
11-05-2025,Asus Store,39285.05,Electronics,Credit Card,May
30-11-2025,PharmEasy,14997.81,Healthcare,UPI,November
27-05-2025,Airtel,5491.42,Bills,UPI,May
17-10-2025,Hotstar,271.2,Entertainment,UPI,October
21-06-2025,IndiGo,18720.15,Travel,Net Banking,June
14-12-2025,Apollo Pharmacy,15857.73,Healthcare,Debit Card,December
02-10-2025,A2B,606.98,Food,UPI,October
01-06-2025,Taco Bell,866.89,Food,Net Banking,June
24-09-2025,Uber,930.7,Transport,Net Banking,September
12-06-2025,IndiGo,19578.06,Travel,Credit Card,June
27-05-2025,Croma,102800.65,Electronics,UPI,May
15-05-2025,US Polo,7247.1,Clothing,Credit Card,May
29-04-2025,DMart,1809.33,Grocery,UPI,April
24-11-2025,Ajio,3187.72,Online Shopping,Credit Card,November
03-11-2025,Biba,4245.61,Clothing,Net Banking,November
08-05-2025,Nykaa,16580.74,Online Shopping,Credit Card,May
28-11-2025,IRCTC,24587.69,Travel,Debit Card,November
15-02-2025,Goibibo,18246.21,Travel,Credit Card,February
16-05-2025,Croma,114729.44,Electronics,UPI,May
24-12-2025,Aster,2573.77,Healthcare,Net Banking,December
03-11-2025,Ajio,12783.42,Online Shopping,UPI,November
11-05-2025,Netmeds,8942.95,Healthcare,Net Banking,May
04-01-2025,Jio Fiber,1317.31,Bills,Credit Card,January
06-01-2025,AirAsia,18249.98,Travel,UPI,January
28-05-2025,SonyLiv,180.09,Entertainment,Debit Card,May
23-12-2025,Snapdeal,3790.59,Online Shopping,Credit Card,December
09-09-2025,Amazon,7246.88,Online Shopping,Credit Card,September
12-05-2025,Boat Lifestyle,81586.75,Electronics,Debit Card,May
03-09-2025,Wrogn,3214.92,Clothing,Credit Card,September
28-01-2025,Uber,288.69,Transport,Net Banking,January
09-07-2025,Apollo Hospital,14951.4,Healthcare,Debit Card,July
03-06-2025,BigBazaar,3397.54,Grocery,Credit Card,June
