Date,Description,Amount,Category,PaymentMethod,Month,Year,Month_Number,Day,Weekday
2025-04-05,irctc,20666.49,Travel,Debit Card,April,2025,4,5,Saturday
2025-12-06,myntra,1919.05,Online Shopping,Net Banking,December,2025,12,6,Saturday
2025-06-20,bigbazaar,2837.68,Grocery,Debit Card,June,2025,6,20,Friday
2025-04-23,property tax online,1071.04,Bills,Net Banking,April,2025,4,23,Wednesday
2025-03-06,asus store,10722.8,Electronics,Debit Card,March,2025,3,6,Thursday
2025-10-30,max fashion,3502.77,Clothing,Debit Card,October,2025,10,30,Thursday
2025-06-11,property tax online,5334.34,Bills,Credit Card,June,2025,6,11,Wednesday
2025-01-03,airtel,1472.58,Bills,UPI,January,2025,1,3,Friday
2025-07-27,wrogn,1965.86,Clothing,Credit Card,July,2025,7,27,Sunday
2025-08-16,aha,250.69,Entertainment,Credit Card,August,2025,8,16,Saturday
2025-03-04,airtel,3989.88,Bills,Debit Card,March,2025,3,4,Tuesday
2025-06-23,cream stone,525.94,Food,Credit Card,June,2025,6,23,Monday
2025-06-24,cream stone,393.35,Food,UPI,June,2025,6,24,Tuesday
2025-05-10,indigo,24147.34,Travel,Net Banking,May,2025,5,10,Saturday
2025-07-28,nilgiris,1295.25,Grocery,UPI,July,2025,7,28,Monday
2025-04-26,tsrtc,1287.28,Transport,UPI,April,2025,4,26,Saturday
2025-02-11,metro rail,723.54,Transport,Debit Card,February,2025,2,11,Tuesday
2025-05-03,irctc,11324.06,Travel,Credit Card,May,2025,5,3,Saturday
2025-06-27,ajio,6989.5,Online Shopping,Credit Card,June,2025,6,27,Friday
2025-12-27,nilgiris,1436.49,Grocery,Net Banking,December,2025,12,27,Saturday
2025-11-10,nykaa,16470.71,Online Shopping,UPI,November,2025,11,10,Monday
2025-05-21,dominos,851.8,Food,Debit Card,May,2025,5,21,Wednesday
2025-03-08,airasia,20599.36,Travel,Debit Card,March,2025,3,8,Saturday
2025-11-30,kfc,1260.41,Food,Credit Card,November,2025,11,30,Sunday
2025-08-25,netflix,828.75,Entertainment,Net Banking,August,2025,8,25,Monday
2025-05-29,apple store,131786.69,Electronics,Net Banking,May,2025,5,29,Thursday
2025-02-06,spotify,177.44,Entertainment,Net Banking,February,2025,2,6,Thursday
2025-03-09,water board,2367.05,Bills,Net Banking,March,2025,3,9,Sunday
2025-02-27,vodafone idea,4047.44,Bills,Net Banking,February,2025,2,27,Thursday
2025-05-20,zara,7133.34,Clothing,UPI,May,2025,5,20,Tuesday
2025-12-27,ajio,6351.17,Online Shopping,Debit Card,December,2025,12,27,Saturday
2025-05-20,boat lifestyle,128424.24,Electronics,Debit Card,May,2025,5,20,Tuesday
2025-02-08,aster,17253.66,Healthcare,Net Banking,February,2025,2,8,Saturday
2025-09-23,oneplus,134214.53,Electronics,UPI,September,2025,9,23,Tuesday
2025-09-25,adidas,7195.3,Clothing,Debit Card,September,2025,9,25,Thursday
2025-03-27,cloudnine,18022.92,Healthcare,Debit Card,March,2025,3,27,Thursday
2025-02-06,taco bell,1158.63,Food,Credit Card,February,2025,2,6,Thursday
2025-05-26,metro rail,982.63,Transport,UPI,May,2025,5,26,Monday
2025-10-04,jiomart,552.08,Grocery,Credit Card,October,2025,10,4,Saturday
2025-05-07,zara,7654.25,Clothing,Net Banking,May,2025,5,7,Wednesday
2025-04-10,apple store,111005.98,Electronics,UPI,April,2025,4,10,Thursday
2025-05-27,barbeque nation,610.2,Food,UPI,May,2025,5,27,Tuesday
2025-11-03,bigbazaar,2051.12,Grocery,Debit Card,November,2025,11,3,Monday
2025-02-25,rapido,601.33,Transport,UPI,February,2025,2,25,Tuesday
2025-12-13,hotstar,850.41,Entertainment,UPI,December,2025,12,13,Saturday
2025-10-05,snapdeal,17659.33,Online Shopping,Debit Card,October,2025,10,5,Sunday
2025-06-20,allen solly,6845.1,Clothing,Debit Card,June,2025,6,20,Friday
2025-01-22,1mg,10543.34,Healthcare,Credit Card,January,2025,1,22,Wednesday
2025-09-16,biba,1592.02,Clothing,Net Banking,September,2025,9,16,Tuesday
2025-08-03,ola,1456.02,Transport,Net Banking,August,2025,8,3,Sunday
2025-05-11,asus store,39285.05,Electronics,Credit Card,May,2025,5,11,Sunday
2025-11-30,pharmeasy,14997.81,Healthcare,UPI,November,2025,11,30,Sunday
2025-05-27,airtel,5491.42,Bills,UPI,May,2025,5,27,Tuesday
2025-10-17,hotstar,271.2,Entertainment,UPI,October,2025,10,17,Friday
2025-06-21,indigo,18720.15,Travel,Net Banking,June,2025,6,21,Saturday
2025-12-14,apollo pharmacy,15857.73,Healthcare,Debit Card,December,2025,12,14,Sunday
2025-10-02,a2b,606.98,Food,UPI,October,2025,10,2,Thursday
2025-06-01,taco bell,866.89,Food,Net Banking,June,2025,6,1,Sunday
2025-09-24,uber,930.7,Transport,Net Banking,September,2025,9,24,Wednesday
2025-06-12,indigo,19578.06,Travel,Credit Card,June,2025,6,12,Thursday
2025-05-27,croma,102800.65,Electronics,UPI,May,2025,5,27,Tuesday
2025-05-15,us polo,7247.1,Clothing,Credit Card,May,2025,5,15,Thursday
2025-04-29,dmart,1809.33,Grocery,UPI,April,2025,4,29,Tuesday
2025-11-24,ajio,3187.72,Online Shopping,Credit Card,November,2025,11,24,Monday
2025-11-03,biba,4245.61,Clothing,Net Banking,November,2025,11,3,Monday
2025-05-08,nykaa,16580.74,Online Shopping,Credit Card,May,2025,5,8,Thursday
2025-11-28,irctc,24587.69,Travel,Debit Card,November,2025,11,28,Friday
2025-02-15,goibibo,18246.21,Travel,Credit Card,February,2025,2,15,Saturday
2025-05-16,croma,114729.44,Electronics,UPI,May,2025,5,16,Friday
2025-12-24,aster,2573.77,Healthcare,Net Banking,December,2025,12,24,Wednesday
2025-11-03,ajio,12783.42,Online Shopping,UPI,November,2025,11,3,Monday
2025-05-11,netmeds,8942.95,Healthcare,Net Banking,May,2025,5,11,Sunday
2025-01-04,jio fiber,1317.31,Bills,Credit Card,January,2025,1,4,Saturday
2025-01-06,airasia,18249.98,Travel,UPI,January,2025,1,6,Monday
2025-05-28,sonyliv,180.09,Entertainment,Debit Card,May,2025,5,28,Wednesday
2025-12-23,snapdeal,3790.59,Online Shopping,Credit Card,December,2025,12,23,Tuesday
2025-09-09,amazon,7246.88,Online Shopping,Credit Card,September,2025,9,9,Tuesday
2025-05-12,boat lifestyle,81586.75,Electronics,Debit Card,May,2025,5,12,Monday
2025-09-03,wrogn,3214.92,Clothing,Credit Card,September,2025,9,3,Wednesday
2025-01-28,uber,288.69,Transport,Net Banking,January,2025,1,28,Tuesday
2025-07-09,apollo hospital,14951.4,Healthcare,Debit Card,July,2025,7,9,Wednesday
2025-06-03,bigbazaar,3397.54,Grocery,Credit Card,June,2025,6,3,Tuesday
2025-07-08,nilgiris,1139.88,Grocery,UPI,July,2025,7,8,Tuesday
2025-08-03,gaana,342.63,Entertainment,Net Banking,August,2025,8,3,Sunday
2025-08-15,tsrtc,892.7,Transport,Credit Card,August,2025,8,15,Friday
2025-06-12,gaana,968.55,Entertainment,Net Banking,June,2025,6,12,Thursday
2025-01-10,max fashion,4490.07,Clothing,Net Banking,January,2025,1,10,Friday
2025-07-15,pizza hut,1157.6,Food,UPI,July,2025,7,15,Tuesday
2025-12-07,1mg,8764.35,Healthcare,Credit Card,December,2025,12,7,Sunday
2025-01-26,bmtc,1547.07,Transport,Net Banking,January,2025,1,26,Sunday
2025-08-28,ajio,8146.38,Online Shopping,Net Banking,August,2025,8,28,Thursday
2025-02-05,meru cabs,1920.03,Transport,Credit Card,February,2025,2,5,Wednesday
2025-10-06,max fashion,1721.41,Clothing,Credit Card,October,2025,10,6,Monday
2025-05-29,aster,14813.92,Healthcare,UPI,May,2025,5,29,Thursday
2025-05-05,act fibernet,319.22,Bills,Debit Card,May,2025,5,5,Monday
2025-04-27,water board,2338.4,Bills,UPI,April,2025,4,27,Sunday
2025-09-02,vivo store,61980.42,Electronics,Credit Card,September,2025,9,2,Tuesday
2025-02-23,ola,822.4,Transport,Debit Card,February,2025,2,23,Sunday
2025-02-26,youtube premium,184.47,Entertainment,Net Banking,February,2025,2,26,Wednesday
2025-10-08,aster,4255.27,Healthcare,Net Banking,October,2025,10,8,Wednesday
2025-11-14,pizza hut,565.33,Food,UPI,November,2025,11,14,Friday
2025-11-04,bsnl,448.88,Bills,UPI,November,2025,11,4,Tuesday
2025-02-17,apollo pharmacy,18445.07,Healthcare,Net Banking,February,2025,2,17,Monday
2025-03-28,water board,4260.5,Bills,Net Banking,March,2025,3,28,Friday
2025-04-16,chai point,589.68,Food,Net Banking,April,2025,4,16,Wednesday
2025-07-01,booking.com,27712.34,Travel,Debit Card,July,2025,7,1,Tuesday
2025-06-23,nykaa,13376.26,Online Shopping,UPI,June,2025,6,23,Monday
2025-03-17,1mg,1134.99,Healthcare,UPI,March,2025,3,17,Monday
2025-11-25,cloudnine,12384.61,Healthcare,Credit Card,November,2025,11,25,Tuesday
2025-11-08,pantaloons,6929.7,Clothing,UPI,November,2025,11,8,Saturday
2025-11-26,reliance digital,130642.49,Electronics,UPI,November,2025,11,26,Wednesday
2025-06-25,apple store,79777.72,Electronics,Net Banking,June,2025,6,25,Wednesday
2025-11-30,medplus,3370.27,Healthcare,Net Banking,November,2025,11,30,Sunday
2025-12-05,zee5,337.71,Entertainment,Credit Card,December,2025,12,5,Friday
2025-07-12,ajio,4838.78,Online Shopping,Net Banking,July,2025,7,12,Saturday
2025-06-07,airasia,5198.69,Travel,UPI,June,2025,6,7,Saturday
2025-06-11,aha,837.72,Entertainment,Net Banking,June,2025,6,11,Wednesday
2025-05-18,vivo store,77283.47,Electronics,UPI,May,2025,5,18,Sunday
2025-04-28,asus store,11685.73,Electronics,UPI,April,2025,4,28,Monday
2025-10-21,tsrtc,1439.75,Transport,UPI,October,2025,10,21,Tuesday
2025-08-05,uber,1973.48,Transport,Net Banking,August,2025,8,5,Tuesday
2025-10-06,nike,4371.85,Clothing,Net Banking,October,2025,10,6,Monday
2025-03-02,medplus,1402.49,Healthcare,UPI,March,2025,3,2,Sunday
2025-10-28,a2b,1243.48,Food,Credit Card,October,2025,10,28,Tuesday
2025-04-13,noise,113889.04,Electronics,Credit Card,April,2025,4,13,Sunday
2025-06-20,ola,1257.63,Transport,UPI,June,2025,6,20,Friday
2025-01-30,zee5,933.54,Entertainment,Net Banking,January,2025,1,30,Thursday
2025-02-08,starbucks,651.61,Food,Net Banking,February,2025,2,8,Saturday
2025-08-09,fortis,10637.38,Healthcare,Debit Card,August,2025,8,9,Saturday
2025-03-07,reliance digital,18244.44,Electronics,Debit Card,March,2025,3,7,Friday
2025-08-18,ola,1887.66,Transport,UPI,August,2025,8,18,Monday
2025-12-15,sonyliv,145.96,Entertainment,Debit Card,December,2025,12,15,Monday
2025-03-31,booking.com,12967.17,Travel,Net Banking,March,2025,3,31,Monday
2025-06-29,sony center,62817.88,Electronics,UPI,June,2025,6,29,Sunday
2025-07-29,biba,4148.95,Clothing,Debit Card,July,2025,7,29,Tuesday
2025-04-30,jiomart,2506.42,Grocery,UPI,April,2025,4,30,Wednesday
2025-11-15,rapido,228.04,Transport,UPI,November,2025,11,15,Saturday
2025-11-03,amazon,3452.95,Online Shopping,Net Banking,November,2025,11,3,Monday
2025-02-06,ccd,623.51,Food,Net Banking,February,2025,2,6,Thursday
2025-07-25,airasia,9974.99,Travel,UPI,July,2025,7,25,Friday
2025-08-30,reliance fresh,1624.5,Grocery,Debit Card,August,2025,8,30,Saturday
2025-10-11,pepperfry,14948.76,Online Shopping,UPI,October,2025,10,11,Saturday
2025-11-04,sonyliv,685.67,Entertainment,Net Banking,November,2025,11,4,Tuesday
2025-03-06,reliance digital,91984.49,Electronics,Debit Card,March,2025,3,6,Thursday
2025-05-06,spencers,4302.88,Grocery,Debit Card,May,2025,5,6,Tuesday
2025-07-05,ajio,16992.09,Online Shopping,UPI,July,2025,7,5,Saturday
2025-06-20,pharmeasy,15524.65,Healthcare,UPI,June,2025,6,20,Friday
2025-08-27,air india,27984.0,Travel,Credit Card,August,2025,8,27,Wednesday
2025-08-25,redbus,1324.57,Transport,UPI,August,2025,8,25,Monday
2025-02-06,subway,1429.47,Food,Debit Card,February,2025,2,6,Thursday
2025-09-08,indigo,7841.59,Travel,Net Banking,September,2025,9,8,Monday
2025-12-13,woodland,7711.86,Clothing,Net Banking,December,2025,12,13,Saturday
2025-05-06,ola,1376.98,Transport,Credit Card,May,2025,5,6,Tuesday
2025-02-04,a2b,563.71,Food,Credit Card,February,2025,2,4,Tuesday
2025-11-02,hp world,9965.75,Electronics,UPI,November,2025,11,2,Sunday
2025-02-16,lenskart,2429.44,Online Shopping,Net Banking,February,2025,2,16,Sunday
2025-12-29,indigo,19630.5,Travel,Credit Card,December,2025,12,29,Monday
2025-06-25,cream stone,832.44,Food,Debit Card,June,2025,6,25,Wednesday
2025-09-02,redbus,792.61,Transport,Net Banking,September,2025,9,2,Tuesday
2025-12-22,amazon,17765.64,Online Shopping,Debit Card,December,2025,12,22,Monday
2025-07-30,gaana,660.53,Entertainment,Net Banking,July,2025,7,30,Wednesday
2025-12-24,paradise biryani,194.1,Food,Credit Card,December,2025,12,24,Wednesday
2025-06-08,allen solly,6496.52,Clothing,UPI,June,2025,6,8,Sunday
2025-12-08,zee5,669.09,Entertainment,UPI,December,2025,12,8,Monday
2025-04-12,taco bell,126.15,Food,UPI,April,2025,4,12,Saturday
2025-02-22,indigo,2297.18,Travel,UPI,February,2025,2,22,Saturday
2025-03-02,us polo,7251.49,Clothing,Credit Card,March,2025,3,2,Sunday
2025-09-29,allen solly,545.49,Clothing,Credit Card,September,2025,9,29,Monday
2025-01-08,h&m,3749.25,Clothing,Credit Card,January,2025,1,8,Wednesday
2025-08-05,chai point,981.12,Food,Net Banking,August,2025,8,5,Tuesday
2025-07-08,mi store,89726.7,Electronics,UPI,July,2025,7,8,Tuesday
2025-03-09,nature's basket,525.86,Grocery,Net Banking,March,2025,3,9,Sunday
